--------------------------------------------------------------------------------
|
| SpringSource dm Server 
|
--------------------------------------------------------------------------------
[2009-02-23 15:21:50.250] QuartzScheduler_Worker-1  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == COURSE
[2009-02-23 15:21:50.250] QuartzScheduler_Worker-1                                                       System.out I Hibernate: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_
[2009-02-23 15:21:50.265] QuartzScheduler_Worker-1  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I put key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                      com.danga.MemCached.MemCachedClient.unknown I ++++ serializing for key: sql%3A+select+course0_.ID+as+ID0_%2C+course0_.BEGIN_DATE+as+BEGIN2_0_%2C+course0_.END_DATE+as+END3_0_%2C+course0_.FEE+as+FEE0_%2C+course0_.TITLE+as+TITLE0_+from+COURSE+course0_%3B+parameters%3A+%3B+named+parameters%3A+%7B%7D for class: java.util.ArrayList
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                      com.danga.MemCached.MemCachedClient.unknown I ++++ memcache cmd (result code): set sql%3A+select+course0_.ID+as+ID0_%2C+course0_.BEGIN_DATE+as+BEGIN2_0_%2C+course0_.END_DATE+as+END3_0_%2C+course0_.FEE+as+FEE0_%2C+course0_.TITLE+as+TITLE0_+from+COURSE+course0_%3B+parameters%3A+%3B+named+parameters%3A+%7B%7D 8 0 150
 (STORED)
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                      com.danga.MemCached.MemCachedClient.unknown I ++++ data successfully stored for key: sql%3A+select+course0_.ID+as+ID0_%2C+course0_.BEGIN_DATE+as+BEGIN2_0_%2C+course0_.END_DATE+as+END3_0_%2C+course0_.FEE+as+FEE0_%2C+course0_.TITLE+as+TITLE0_+from+COURSE+course0_%3B+parameters%3A+%3B+named+parameters%3A+%7B%7D
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                                                       System.out I Course Title: Core Spring
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                                                       System.out I Begin Date: 2007-09-01 00:00:00.0
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                                                       System.out I End Date: 2007-10-01 00:00:00.0
[2009-02-23 15:21:50.281] QuartzScheduler_Worker-1                                                       System.out I Fee: 1000
[2009-02-23 15:22:00.015] QuartzScheduler_Worker-2                                                       System.out I ********************************************************************
[2009-02-23 15:22:00.015] QuartzScheduler_Worker-2  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
[2009-02-23 15:22:00.015] QuartzScheduler_Worker-2                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class java.util.ArrayList
[2009-02-23 15:22:00.015] QuartzScheduler_Worker-2  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == COURSE
[2009-02-23 15:22:00.015] QuartzScheduler_Worker-2  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:00.031] QuartzScheduler_Worker-2                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:00.031] QuartzScheduler_Worker-2  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:00.031] QuartzScheduler_Worker-2                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:00.031] QuartzScheduler_Worker-2                                                       System.out I Course Title: Core Spring
[2009-02-23 15:22:00.031] QuartzScheduler_Worker-2                                                       System.out I Begin Date: 2007-09-01 00:00:00.0
[2009-02-23 15:22:00.031] QuartzScheduler_Worker-2                                                       System.out I End Date: 2007-10-01 00:00:00.0
[2009-02-23 15:22:00.031] QuartzScheduler_Worker-2                                                       System.out I Fee: 1000
[2009-02-23 15:22:10.015] QuartzScheduler_Worker-3                                                       System.out I ********************************************************************
[2009-02-23 15:22:10.015] QuartzScheduler_Worker-3  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
[2009-02-23 15:22:10.015] QuartzScheduler_Worker-3                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class java.util.ArrayList
[2009-02-23 15:22:10.015] QuartzScheduler_Worker-3  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == COURSE
[2009-02-23 15:22:10.015] QuartzScheduler_Worker-3  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:10.031] QuartzScheduler_Worker-3                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:10.031] QuartzScheduler_Worker-3  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:10.031] QuartzScheduler_Worker-3                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:10.031] QuartzScheduler_Worker-3                                                       System.out I Course Title: Core Spring
[2009-02-23 15:22:10.031] QuartzScheduler_Worker-3                                                       System.out I Begin Date: 2007-09-01 00:00:00.0
[2009-02-23 15:22:10.031] QuartzScheduler_Worker-3                                                       System.out I End Date: 2007-10-01 00:00:00.0
[2009-02-23 15:22:10.031] QuartzScheduler_Worker-3                                                       System.out I Fee: 1000
[2009-02-23 15:22:20.015] QuartzScheduler_Worker-4                                                       System.out I ********************************************************************
[2009-02-23 15:22:20.015] QuartzScheduler_Worker-4  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
[2009-02-23 15:22:20.015] QuartzScheduler_Worker-4                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class java.util.ArrayList
[2009-02-23 15:22:20.015] QuartzScheduler_Worker-4  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == COURSE
[2009-02-23 15:22:20.015] QuartzScheduler_Worker-4  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:20.015] QuartzScheduler_Worker-4                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
